char,deltaup,deltadown,downtime,uptime,char_index,user
l,0.6373677253723145,0.08190512657165527,2.6319870948791504,2.7138922214508057,7,person2
l,0.2969193458557129,0.08819818496704102,2.8407082557678223,2.9289064407348633,8,person2
l,0.3638167381286621,0.08187341690063477,3.1226515769958496,3.2045249938964844,9,person2
o,0.32206010818481445,0.08497309684753418,3.35973858833313,3.444711685180664,10,person2
w,0.31925225257873535,0.09778499603271484,3.5812058448791504,3.6789908409118652,11,person2
e,0.3310363292694092,0.0944528579711914,3.817789316177368,3.9122421741485596,12,person2
r,0.3529701232910156,0.11881160736083984,4.051947832107544,4.170759439468384,13,person2
c,0.431804895401001,0.08129572868347168,4.402456998825073,4.483752727508545,14,person2
a,0.4114527702331543,0.09872031211853027,4.715189456939697,4.8139097690582275,15,person2
s,0.326373815536499,0.08939385414123535,4.952169418334961,5.041563272476196,16,person2
e,0.35889315605163574,0.08456015586853027,5.226502418518066,5.311062574386597,17,person2
4,0,0.09488916397094727,0,0.09488916397094727,0,person2
w,0.6991186141967773,0.11125588417053223,0.5878627300262451,0.6991186141967773,1,person2
o,0.4057784080505371,0.11725258827209473,0.8763885498046875,0.9936411380767822,2,person2
r,0.39394116401672363,0.0878760814666748,1.1824536323547363,1.2703297138214111,3,person2
d,0.39252400398254395,0.09927654266357422,1.475701093673706,1.5749776363372803,4,person2
s,0.49959564208984375,0.08234620094299316,1.8929505348205566,1.9752967357635498,5,person2
a,0.46941113471984863,0.10680198669433594,2.2555596828460693,2.3623616695404053,6,person2
l,0.4380178451538086,0.12259411811828613,2.570983409881592,2.693577527999878,7,person2
l,0.6419527530670166,0.10834097862243652,3.104595184326172,3.2129361629486084,8,person2
l,0.47762322425842285,0.10867071151733398,3.4735476970672607,3.5822184085845947,9,person2
o,0.3866124153137207,0.12160539627075195,3.7385547161102295,3.8601601123809814,10,person2
w,0.39274048805236816,0.11477255821228027,4.016522645950317,4.131295204162598,11,person2
e,0.34354424476623535,0.08440256118774414,4.275664329528809,4.360066890716553,12,person2
r,0.34204816818237305,0.09522366523742676,4.522488832473755,4.617712497711182,13,person2
c,0.4413626194000244,0.08168244361877441,4.882169008255005,4.963851451873779,14,person2
a,0.46166467666625977,0.10822153091430664,5.235612154006958,5.343833684921265,15,person2
s,0.32597970962524414,0.07930350303649902,5.482288360595703,5.561591863632202,16,person2
e,0.3369176387786865,0.08921980857849121,5.729986190795898,5.81920599937439,17,person2
4,0,0.08617353439331055,0,0.08617353439331055,0,person2
w,0.5798914432525635,0.1044316291809082,0.4754598140716553,0.5798914432525635,1,person2
o,0.4250030517578125,0.10863733291625977,0.791825532913208,0.9004628658294678,2,person2
r,0.3616955280303955,0.07827019691467285,1.0752508640289307,1.1535210609436035,3,person2
d,0.3831770420074463,0.08828091621398926,1.3701469898223877,1.458427906036377,4,person2
s,0.4278550148010254,0.09172987937927246,1.7062721252441406,1.798002004623413,5,person2
a,0.5053973197937012,0.10462713241577148,2.1070423126220703,2.211669445037842,6,person2
l,0.4565398693084717,0.11198544502258301,2.451596736907959,2.563582181930542,7,person2
l,0.36921000480651855,0.13444066047668457,2.685870885848999,2.8208067417144775,8,person2
l,0.42404913902282715,0.1184990406036377,2.9919161796569824,3.11041522026062,9,person2
o,0.4187045097351074,0.12201547622680664,3.288605213165283,3.41062068939209,10,person2
w,0.3419814109802246,0.11445212364196777,3.51613450050354,3.630586624145508,11,person2
e,0.3633589744567871,0.10644841194152832,3.773045063018799,3.879493474960327,12,person2
